,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith4_RAW-0044-Alta,Zenith4_RAW-0044-Alta,Вы все еще хотите кофе?,,Tu veux toujours du café ?,Lo vuoi ancora un caffè?,Wollt ihr noch Kaffee?,¿Todavía quieres café?,¿Todavía quieres un café?,커피 기다리는 것 맞죠?,,まだコーヒーが欲しい？,Você ainda quer café?,你还要咖啡吗？,你還想喝咖啡嗎？,,,,,
Zenith4_RAW-0045-Garry,Zenith4_RAW-0045-Garry,"Да, я бы по-прежнему хотела кофе. Спасибо».",,"Oui, je veux toujours du café. Merci.","Sì, lo voglio ancora. Grazie.","Ja, ich hätte gerne noch Kaffee. Danke.","Sí, todavía me gustaría un café. Gracias.","Sí, todavía quiero un café. Gracias.","네, 커피 마시고 싶습니다. 감사합니다.",,ええ、欲しいデス。よろしく。,"Sim, eu ainda quero café. Obrigado.",是的，我还要咖啡。谢谢。,是的，我還想喝咖啡。謝謝你。,,,,,
Zenith4_RAW-0046-Alta,Zenith4_RAW-0046-Alta,"Ладно, вот твой кофе.",,"Très bien, voici ton café.","Va bene, ecco il tuo caffè.","Alles klar, hier ist euer Kaffee.","Muy bien, aquí tienes tu café.","Muy bien, aquí tienes tu café.","자, 커피 가져왔어요.",,さあどうぞ、コーヒーだ。,"Certo, aqui está o café.",好的，你的咖啡，请用。,好，這是你點的咖啡。,,,,,
Zenith4_RAW-0047-Garry,Zenith4_RAW-0047-Garry,............,,… … …,............,............,...,...,............,,………,............,…………,……,,,,,
Zenith4_RAW-0048-Alta,Zenith4_RAW-0048-Alta,О!,,Oh !,Oh!,Oh!,¡Oh!,¡Ah!,이런!,,あっ！,Ah!,哦！,噢！,,,,,
Zenith4_RAW-0049-Garry,Zenith4_RAW-0049-Garry,............,,… … …,............,............,...,...,............,,………,............,…………,……,,,,,
Zenith4_RAW-0050-Alta,Zenith4_RAW-0050-Alta,"Я полагаю, это означает, что вы больше не хотите кофе...",,Je suppose que ça veut dire que tu ne veux plus de café…,Immagino che questo significhi che non vuoi più il caffè...,"Ich schätze, das heißt, dass ihr keinen Kaffee mehr wollt …",Supongo que esto significa que ya no quieres el café...,Supongo que esto significa que ya no quieres el café...,상황을 보니 이제 커피는 필요 없겠네요...,,もうコーヒーは、いらないみたいだな…,Suponho que isso queira dizer que você não quer mais café...,看来你又不想喝咖啡了……,我猜這代表你再也不想喝咖啡了……,,,,,
Zenith4_RAW-0051-Garry,Zenith4_RAW-0051-Garry,............,,… … …,............,............,...,...,............,,……,............,…………,……,,,,,
Zenith4_RAW-0052-Alta,Zenith4_RAW-0052-Alta,"Итак, это все? Вы все закончили со мной разговаривать?",,Alors c'est comme ça ? Vous arrêtez tous de me parler ?,Allora è così? Smettete tutti di parlarmi prima o poi?,"So, das ist also alles, ja? Ihr seid alle fertig mit dem Reden?",¿Ya está? ¿Ya no habla nadie conmigo?,¿Entonces quedamos así? ¿Nadie habla conmigo?,이걸로 끝인가요? 다들 이제 나랑 얘기 안 하는 거예요?,,これで終わり？ もう誰も話してくれないの？,"Então, é isso? Nenhum de vocês vai mais falar comigo?",看来是时候了？你们都没话和我说了？,所以，就這樣？你們都不想跟我說話了？,,,,,
Zenith4_RAW-0053-Garry,Zenith4_RAW-0053-Garry,............,,… … …,............,............,...,...,............,,………,............,…………,……,,,,,
Zenith4_RAW-0054-Choice,Zenith4_RAW-0054-Choice,"...действительно ли я ""двигаюсь дальше""?",,"… je dois vraiment passer à ""autre chose"" ?","… Sto davvero ""andando per la mia strada""?",… ziehe ich jetzt wirklich „weiter“?,"¿Realmente estoy ""siguiendo adelante""?",¿Estoy «siguiendo adelante»... o no?,...이렇게 '넘어가야' 하는 건가요?,,…私は本当に“前に進んでる”のか？,"E estou mesmo ""seguindo em frente""?",……我真的在“向前看”吗？,……我真的在「前進」嗎？,,,,,
Zenith4_RAW-0055-Choice,Zenith4_RAW-0055-Choice,Отлично. Что угодно. Теперь это мой кофе.,,Très bien. Peu importe. C'est mon café maintenant.,Bene. Non importa. Adesso il caffè è tutto mio.,Meinetwegen. Mir egal. Jetzt ist es mein Kaffee.,"Bueno, da igual. Ahora es mi café.","Bueno, qué importa. Ahora es mi café.",알았어요. 마음대로 해요. 이제 이건 내 커피예요.,,わかったよ、好きにしろ。コーヒーはもらう。,Tá bem. Que seja. O café é meu agora.,好吧。不管了。这杯咖啡是我的了。,好。隨便啦。這咖啡是我的了。,,,,,
Zenith4_RAW-0056-Alta,Zenith4_RAW-0056-Alta,"Это то, что сказал {{Boro}}, верно? Что я... ""двигаюсь дальше"". ""Прошу перемен"".",From [0054-Choice],"C'est ce qu'a dit {{Boro}}, pas vrai ? De… euh… passer à ""autre chose"" ? Qu'il fallait ""faire un changement"".","È quello che ha detto Boro, vero? Che sto uh... ""andando per la mia strada"". Che bisognava ""fare un cambiamento"".","Das hat Boro doch gesagt, oder? Das ich, äh … „weiterziehe“. „Eine Veränderung verlange“.","Eso es lo que dijo Boro, ¿verdad? Que estoy... ""siguiendo adelante"". ""Pidiendo un cambio"".","Eso es lo que dijo {{Boro}}, ¿no? Que estoy... «siguiendo adelante». «Pidiendo un cambio».",{{Boro}}의 말이 이런 거겠죠? 내가... 다음으로 '넘어가고' 있다는 말. '변화를 요청'하고 있다는 말.,,{{ボロ}}が言ってたよな？ 私は…“前に進んでる”、“変化を求めてる”って。,"Foi isso que o {{Boro}} disse, né? Que eu estou... ""seguindo em frente"". ""Pedindo uma mudança"".",{{Boro}}就是这么说的，不是吗？他说我应该……“向前看”。“要求改变”。,Boro 就是這麼說的，對吧？說我正在，呃……「前進」。「要求改變」。,,,,,
Zenith4_RAW-0057-Alta,Zenith4_RAW-0057-Alta,Так вот почему ты молчишь?,,C'est pour ça que tu ne parles pas ?,È per questo che non parli?,Redet ihr deshalb nicht mehr?,¿Por eso no hablas?,¿Por eso no hablas?,그래서 다들 말을 멈춘 건가요?,,だから、あんたも話さなくなったの？,É por isso que você não está falando?,所以你才不说话了吗？,這就是你們不說話的原因嗎？,,,,,
Zenith4_RAW-0058-Garry,Zenith4_RAW-0058-Garry,............,,… … …,............,............,...,...,............,,………,............,…………,……,,,,,
Zenith4_RAW-0059-Garry,Zenith4_RAW-0059-Garry,............,From [0055-Choice],… … …,............,............,...,...,............,,………,............,…………,……,,,,,
