,Key,English_US,Description,French,Italian,German,Spanish_Spain,Spanish_LATAM,Korean,Russian,Japanese,Portuguese_Brazil,Chinese_Simplified,Chinese_Traditional,Polish,Turkish,Swedish,Thai,Arabic
Zenith3_RAW-0043-Zenith,Zenith3_RAW-0043-Zenith,Вот что. Мы предлагаем.,,C'est cela. Que nous suggérons.,Questo è ciò che. Ti consigliamo.,Das ist. Was wir vorschlagen.,Eso es lo que. Sugerimos.,Eso es lo que. Sugerimos.,그렇게. 한번 해보렴.,,これがワタシタチの提案。,É isso. Que sugerimos.,这就是。我等的建议。,這就是。我們的建議。,,,,,
Zenith3_RAW-0044-Alta,Zenith3_RAW-0044-Alta,"А, ладно. Почему?",,Euh… OK. Pourquoi ?,Uh... va bene. Perché?,"Äh, okay. Warum?","Eh, vale. ¿Por qué?","Bueno, bien. ¿Por qué?","후우, 알았어요. 왜요?",,ええと、そうか。理由は？,"Ahm, tá. Por quê?",呃，好吧。为什么？,呃，好噢。為什麼？,,,,,
Zenith3_RAW-0045-Zenith,Zenith3_RAW-0045-Zenith,"""Почему""?","Just repeating the word ""why"" from the previous line","""Pourquoi"" ?",Perché?,„Warum“?,"¿""Por qué""?",¿«Por qué»?,'왜요'라니?,,“理由”？,"""Por quê""?",“为什么”？,「為什麼？」,,,,,
Zenith3_RAW-0046-Alta,Zenith3_RAW-0046-Alta,"Да, что даст мне сосредоточение на моей боли? Как это поможет мне стать лучше? Мне нужна конкретика.",,"Ouais, me concentrer sur ma douleur, ça m'apportera quoi ? C'est censé me faire aller mieux ? Il me faut plus de détails.",Quindi... concentrarmi sul mio dolore... come potrebbe mai rendermi migliore? Ho bisogno di saperne di più.,"Ja, was bringt es mir, mich auf meine Schmerzen zu konzentrieren? Wie soll mir das helfen? Ich brauche Einzelheiten.","Sí, ¿qué me hará centrarme en mi dolor? ¿Cómo hará que esté mejor? Necesito detalles.","Sí, digo, ¿de qué me serviría concentrarme en mi dolor? ¿Cómo hará eso que mejore? Necesito detalles.","네, 고통에 집중하는 게 무슨 도움이 되죠? 그렇게 하면 뭐가 나아지는데요? 구체적으로 말해줘요.",,ああ、自分の痛みと向き合ったところで何になる？ なぜ状況が改善される？ 具体的に知りたい。,"Sim, o que focar na minha dor vai me adiantar? Como vai me deixar melhor? Preciso de detalhes.",嗯，关注自己的痛苦对我有什么好处？这样做能让我有所好转吗？我想知道具体的细节。,對啊，注意自己的痛苦對我有什麼好處？如何能讓我更好？我需要具體的說明。,,,,,
Zenith3_RAW-0047-Zenith,Zenith3_RAW-0047-Zenith,Почему...,,"""Pourquoi…"" ?",Perché...,„Warum“ …,"¿""Por qué...""?",«Por qué...».,'왜요'라…,,“理由”デスカ…,"""Por quê...""",“为什么……”,「為什麼……」,,,,,
Zenith3_RAW-0048-Alta,Zenith3_RAW-0048-Alta,"Должна быть причина, по которой это выгодно. Так в чем же причина?",,"Si c'est bénéfique, il doit y avoir une raison. C'est quoi la raison ?",Ci deve essere una ragione per cui è vantaggioso. Vorrei sapere qual è.,"Es ist doch nicht grundlos hilfreich. Also, was ist der Grund?","Debe haber una razón por la que es beneficioso. Entonces, ¿cuál es la razón?","Debe haber una razón, un beneficio para hacerlo. Entonces, ¿cuál es la razón?",그렇게 하는 게 유익한 이유가 있을 거 아니에요. 그 이유가 뭐죠?,,私のためになると言うだけの理由があるんだろ。それは？,"Tem que ter um motivo pra ser benéfico. Então, qual é o motivo?",这么做之所以有益，总得有个原因吧。所以原因是什么？,一定有什麼有益的理由。所以理由是什麼？,,,,,
Zenith3_RAW-0049-Zenith,Zenith3_RAW-0049-Zenith,Как интересно. Мы никогда не пытались. Объяснять эту концепцию раньше.,,Très intéressant. Nous n'avions jamais tenté. D'expliquer ce concept.,Interessante. Non abbiamo mai tentato. Di spiegare questo concetto prima.,"Wie interessant. Wir haben noch nie. Versucht, das Konzept zu erklären.",Qué interesante. Nunca hemos intentado. Explicar este concepto antes.,Qué interesante. Nunca hemos intentado. Explicar este concepto antes.,흥미롭구나. 지금까지 한 번도 이 개념을. 설명하려 해본 적이 없거든.,,なんと興味深いコトデショウ。初めての試みデス。この概念を説明するのは。,Que interessante. Nunca tentamos. Explicar esse conceito antes.,真是有趣。我等还从未尝试过。解释这一概念。,多有趣啊。我們從未嘗試。解釋這個概念。,,,,,
Zenith3_RAW-0050-Zenith,Zenith3_RAW-0050-Zenith,Хммм.,,Hum…,Hmm…,Mmmh.,Mmmm.,Mmm...,흐음.,,フーム。,Hmmm.,唔。,嗯。,,,,,
Zenith3_RAW-0051-Zenith,Zenith3_RAW-0051-Zenith,Это очень трудно. Объяснить.,,C'est difficile. À expliquer.,È difficile. Da spiegare.,Es ist kompliziert. Zu erläutern.,Es difícil. Explicar.,Es difícil. De explicar.,설명하기. 어렵구나.,,難しいデスネ。説明するのは。,É difícil. Explicar.,这事情。难以解释。,真難。解釋。,,,,,
Zenith3_RAW-0052-Zenith,Zenith3_RAW-0052-Zenith,Здесь нет слов. Язык. Этого недостаточно.,,Il n'y a pas de mots. La langue. Ne suffit pas.,Non ci sono parole. Il linguaggio. È insufficiente.,Es gibt keine Worte. Sprache reicht. Nicht aus.,No hay palabras. El idioma. Es insuficiente.,No hay palabras. El idioma. Es insuficiente.,말로 설명하기 힘들어. 언어로는. 부족해.,,言葉にデキナイ。不十分ナノデス。言語では。,Não há palavras. O idioma. É insuficiente.,只可意会，不可言传。任何语言。都太过苍白无力。,難以言喻。語言。並不足夠。,,,,,
Zenith3_RAW-0053-Zenith,Zenith3_RAW-0053-Zenith,Но мы могли бы. Возможно. Покажу тебе напрямую.,,Mais nous pourrions. Peut-être. Te montrer directement.,Ma forse. Potremmo. Mostrartelo direttamente.,Aber wir könnten es. Vielleicht. Direkt zeigen.,Pero podríamos. Tal vez. Mostrarte directamente.,Pero podríamos. Tal vez. Mostrártelo directamente.,대신. 우리가. 직접 보여주면 어떨까.,,でも、やってミマショウ。直接、お見せシマス。,Mas nós poderíamos. Talvez. Mostrar a você diretamente.,但也许。我等。可以直接为你展示。,但我們。或許可以。直接向你展示。,,,,,
Zenith3_RAW-0054-Alta,Zenith3_RAW-0054-Alta,"""Покажешь"" мне?",,"Me ""montrer"" ?","""Mostrarmelo""?",Es „zeigen“?,"¿""Mostrarme""?",¿Mostrarme?,'보여'준다고요?,,“見せる”って？,"Me ""mostrar""?",为我“展示”？,向我「展示」？,,,,,
Zenith3_RAW-0055-Zenith,Zenith3_RAW-0055-Zenith,Да. Польза сосредоточения. На своей боли.,,Oui. Le bénéfice de la concentration. Sur ta douleur.,Sì. Il vantaggio di concentrarsi. Sul tuo dolore.,"Ja. Den Vorteil, dich zu konzentrieren. Auf deinen Schmerz.",Sí. El beneficio de centrarte. En tu dolor.,Sí. El beneficio de concentrarte. En tu dolor.,그래. 고통에 집중할 때. 효과가 뭔지 보여줄게.,,そうデス。アナタの痛みと向き合う利点を。,Sim. O benefício de focar. Na sua dor.,是的。为你展示。关注自己痛苦的好处。,對。關注深層痛苦。的益處。,,,,,
Zenith3_RAW-0056-Zenith,Zenith3_RAW-0056-Zenith,Инициация. Искра. Раскрытие.,"words that simply mean ""the beginning""",L'initiation. L'étincelle. Le déroulement.,L'iniziazione. La scintilla. Lo svolgersi.,Den Beginn. Den Funken. Die Entfaltung.,La iniciación. La chispa. El despliegue.,La iniciación. La chispa. La revelación.,무엇이 시작되고. 무엇이 촉발되고. 무엇이 펼쳐지는지.,,始まり。ひらめき。解明。,A iniciação. A faísca. O desdobramento.,由此而来的那种启蒙。那一缕开化之光。和那种明悟。,措施。啟發。開展。,,,,,
Zenith3_RAW-0057-Zenith,Zenith3_RAW-0057-Zenith,Мы можем спроецировать это. В ваше сознание. Чтобы вы могли видеть.,,Nous pouvons le projeter. Dans ton esprit. Pour que tu voies.,Possiamo proiettarlo. Nella tua mente. In modo che tu possa vedere.,Wir können es in deinen. Geist projizieren. Damit du es sehen kannst.,Podemos proyectarlo. En tu mente. Para que puedas ver.,Podemos proyectarlo. En tu mente. Para que puedas ver.,네 마음속에. 비춰줄 수 있단다. 네가 볼 수 있도록.,,投影デキマス。アナタの頭の中に。そうすれば見えル。,Podemos projetar. Na sua mente. Para que você possa ver.,我等都能。直接投射到你脑海中。如此一来你就能明白一切。,我們可以投射至。你心中。這樣你就看得見。,,,,,
Zenith3_RAW-0058-Zenith,Zenith3_RAW-0058-Zenith,Вы этого хотите?,,C'est ce que tu souhaites ?,Vuoi farlo?,Möchtest du das?,¿Deseas esto?,¿Es lo que deseas?,그렇게 해줄까?,,そうして欲しいデスカ？,É isso que você deseja?,你愿意如此吗？,你想看嗎？,,,,,
Zenith3_RAW-0059-Choice,Zenith3_RAW-0059-Choice,А-а-а... может ли это повредить мой мозг?,,Euh… ça va pas m'abîmer le cerveau ?,Ehm... può arrecare danni al cervello?,Äh …Kann mein Gehirn darunter leiden?,Eh... ¿podría causarme daño cerebral?,Eh... ¿Podría causarme daño cerebral?,아... 혹시 뇌에 손상은 없어요?,,あのさ…脳にダメージはある？,Ahm... pode causar algum dano cerebral?,唔……这样做会不会伤到我的脑子？,呃……這會傷害我的腦袋嗎？,,,,,
Zenith3_RAW-0060-Choice,Zenith3_RAW-0060-Choice,"Конечно, давайте сделаем это.",,"Bien sûr, allons-y.","Certo, facciamolo.","Klar, legen wir los.","Claro, vamos.","Claro, adelante.","좋아요, 해보자고요.",,もちろん。やってみよう。,"Claro, vamos.",好，动手吧。,好啊，就這麼辦吧。,,,,,
Zenith3_RAW-0061-Zenith,Zenith3_RAW-0061-Zenith,Это не повлияет. На ваш мозг.,From [0059-Choice],Ça n'affectera pas. Ton cerveau.,Non avrà alcun effetto. Sul tuo cervello.,Es würde dein Gehirn. Nicht beeinflussen.,No afectaría. A tu cerebro.,No afectaría. A tu cerebro.,뇌에는 아무런. 영향이 없단다.,,影響は及びマセン。アナタの脳に。,Não afetaria. O seu cérebro.,这样做。并不会伤到你的大脑。,這不會影響。你的腦袋。,,,,,
Zenith3_RAW-0062-Zenith,Zenith3_RAW-0062-Zenith,Это всего лишь видение. Восприятие. Озарение.,,Ce n'est qu'une vision. Une perception. Un éclairage.,È solo una visione. Una percezione. Un'intuizione.,Es ist nur eine Vision. Eine Wahrnehmung. Ein Einblick.,Es solo una visión. Una percepción. Una comprensión.,Es solo una visión. Una percepción. Una perspicacia.,그건 그냥 비전이고. 인식이고. 통찰이니까.,,ただのビジョン、知覚、直感デス。,É apenas uma visão. Uma percepção. Uma revelação.,它只是一个启示。一份明悟。一点洞悉。,這就只是個畫面。一種感知。一種洞見。,,,,,
Zenith3_RAW-0063-Choice,Zenith3_RAW-0063-Choice,"Конечно, давай, покажи мне.",,"Bien sûr. Vas-y, montre-moi.","Certo, procedi pure e mostramelo.","Klar, legt los und zeigt es.","Claro, adelante, muéstramelo.","Claro, adelante. Muéstrame.","좋아요, 그러면 보여줘요.",,それならどうぞ。見せてくれ。,"Claro, pode me mostrar.",好，那就让我看看吧。,好，那就向我展示吧。,,,,,
Zenith3_RAW-0064-Choice,Zenith3_RAW-0064-Choice,"Может, пропустим это?",,Euh… on va peut-être laisser tomber.,"Eh, forse è meglio lasciar perdere.","Äh, überspringen wir das lieber.","Eh, tal vez saltémonos eso.",Eh... Creo que sería mejor que no.,"됐어요, 그냥 안 볼래요.",,あー、パスしようかな。,"Ahm, melhor deixar.",诶，那还是算了吧。,呃，還是不要好了。,,,,,
Zenith3_RAW-0065-Alta,Zenith3_RAW-0065-Alta,Нет ли другого способа объяснить мне это?,From [0064-Choice],Y a-t-il une autre façon de m'expliquer ça ?,Non c'è un altro modo per spiegarmelo?,"Gibt es keine andere Art, es mir zu erklären?",¿No hay otra manera de explicármelo?,¿No hay otra manera de explicármelo?,다른 방법으로 설명해 줄 순 없어요?,,説明する方法は他にないの？,Não tem outro jeito de me explicar?,真没有别的办法为我做出解释了吗？,沒有其他向我解釋的方法嗎？,,,,,
Zenith3_RAW-0066-Zenith,Zenith3_RAW-0066-Zenith,Нет. Другого способа нет.,,Il n'y a pas. D'autre façon.,Non c'è. Un altro modo.,Es gibt keine. Andere Art.,No hay. Otra manera.,No hay. Otra manera.,다른 방법은. 없단다.,,ありマセン。他の方法は。,Não há. Outro jeito.,的确。没有别的办法。,沒有。其他方法。,,,,,
Zenith3_RAW-0067-Alta,Zenith3_RAW-0067-Alta,Бррр…,,Bah…,Ughhh...,Oaaaah …,Aghhh...,Aghhh...,으윽...,,ううーん…,Ughhh...,啊……,呃……,,,,,
Zenith3_RAW-0068-Zenith,Zenith3_RAW-0068-Zenith,Человек {{Alta}}. Мы приносим извинения.,,Être humain {{Alta}}. Nous sommes désolés.,Essere umano {{Alta}}. Ci dispiace.,Menschin {{Alta}}. Es tut uns leid.,Humana {{Alta}}. Lo sentimos.,Humana {{Alta}}. Lo sentimos.,인간 {{Alta}}. 미안하구나.,,人間{{アルタ}}よ、残念デス。,Humana {{Alta}}. Sentimos muito.,人类{{Alta}}。我等很抱歉。,人類{{Alta}}。我們很抱歉。,,,,,
Zenith3_RAW-0069-Alta,Zenith3_RAW-0069-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0070-Zenith,Zenith3_RAW-0070-Zenith,Мы надеемся. Что вы исцелите себя.,,Nous espérons. Que tu te soigneras toi-même.,Speriamo. Che guarirai.,"Wir hoffen, dass. Du dich selbst heilst.",Esperamos. Que te cures.,Esperamos. Que te cures.,부디 네가. 치유되길 바란다.,,祈ってイマス。心を癒やせるように。,Esperamos. Que você se cure.,我等衷心希望。你能治好自己。,我們希望。你可以療癒自己。,,,,,
Zenith3_RAW-0071-Alta,Zenith3_RAW-0071-Alta,...,,…,...,…,...,...,...,,…,...,……,……,,,,,
Zenith3_RAW-0072-Zenith,Zenith3_RAW-0072-Zenith,Мы думаем. О тебе.,,Nous pensons. À toi.,Ti. Pensiamo.,Wir denken. An dich.,Estamos pensando. En ti.,Te tenemos. En nuestros pensamientos.,우린 너를. 생각한단다.,,いつも思ってイマス。アナタのコトを。,Estamos pensando. Em você.,我等现在。很担心你。,我們正在。想著你。,,,,,
Zenith3_RAW-0073-Alta,Zenith3_RAW-0073-Alta,Отлично.,,Très bien.,Bene.,Meinetwegen.,Está bien.,Está bien.,그러든가요.,,わかった。,Tá bem.,好吧。,好。,,,,,
Zenith3_RAW-0074-Zenith,Zenith3_RAW-0074-Zenith,Очень хорошо. Сейчас мы попытаемся. Показать вам.,"From [0060-Choice]
From [0063-Choice]",Très bien. Nous allons maintenant essayer. De te montrer.,Molto bene. Ora tenteremo. Di mostrarti.,"Nun gut. Wir werden nun versuchen, es. Dir zu zeigen.",Muy bien. Ahora intentaremos. Mostrártelo.,Muy bien. Ahora intentaremos. Mostrártelo.,좋아. 이제 너에게. 보여줄게.,,いいデショウ。デハ、試してミマス。見せマスネ。,Muito bem. Agora tentaremos. Mostrar a você.,很好。我等将尝试。为你进行展示。,那好吧。我們不會。向你展示。,,,,,
Zenith3_RAW-0075-Zenith,Zenith3_RAW-0075-Zenith,Закройте глаза.,,Ferme les yeux.,Chiudi gli occhi.,Schließe deine Augen.,Cierra los ojos.,Cierra los ojos.,눈을 감아보렴.,,目を閉じテ。,Feche os olhos.,闭上你的眼睛。,請閉上雙眼。,,,,,
Zenith3_RAW-0076-Zenith,Zenith3_RAW-0076-Zenith,Сейчас мы отправим вам сообщение. Изображение.,,Nous allons t'envoyer. L'image.,Ora ti invieremo. L'immagine.,Wir senden dir nun. Das Bild.,Ahora te enviaremos. La imagen.,Ahora te enviaremos. La imagen.,네 마음으로 이미지를. 보내줄게.,,今から送りマス。イメージを。,Agora enviaremos a você. A imagem.,我等会将画面。传输给你。,我們現在要。傳送畫面給你。,,,,,
Zenith3_RAW-0077-Alta,Zenith3_RAW-0077-Alta,Что за чертовщина?!,,Mais qu'est-ce que c'est que ça ?!,Che diavolo?!?,Was zur Hölle?!,¿¡Pero esto qué es!?,¡¿Pero qué demonios?!,이게 뭐야?!?,,何なんだ？！,Mas que diabos?!?,什么玩意？！？,什麼鬼？！？,,,,,
Zenith3_RAW-0078-Zenith,Zenith3_RAW-0078-Zenith,Вот и все. Выгода. Раскрытие. Начало.,,C'était ça. Le bénéfice. Le déroulement. Le commencement.,Questo è tutto. Il vantaggio. Lo svolgersi. L'inizio.,Das war es. Der Vorteil. Die Entfaltung. Der Anbeginn.,Eso era. El beneficio. El despliegue. El comienzo.,Eso fue. El beneficio. El despliegue. El comienzo.,거기까지야. 무엇이 유익한지. 무엇이 펼쳐지는지. 무엇이 시작되는지야.,,今、見せマシタ。これが利点デス。解明。始まり。,Foi isso. O benefício. O desdobramento. O início.,那就是全部了。全部的裨益。明悟。和启蒙。,就這樣。益處。開展。起始。,,,,,
Zenith3_RAW-0079-Alta,Zenith3_RAW-0079-Alta,Это ничего не объясняло! Это была просто куча чепухи!,,Ça n'a rien expliqué du tout ! C'était juste du grand n'importe quoi !,Questo non spiega nulla! Erano solo un mucchio di sciocchezze!,Das hat überhaupt nichts erklärt! Das war nur ein Haufen Unsinn!,¡Eso no explicaba nada! ¡Eran solo un montón de tonterías!,¡Eso no aclaró nada! ¡No fueron más que un montón de tonterías!,아무것도 설명되지 않았어요! 말이 안 되잖아요!,,何の説明にもなってなかったぞ！ 意味不明なイメージだけだ！,Isso não explicou nada! Foi só um monte de bobagem!,那画面什么也解释不了！完全就是一团乱麻！,什麼都沒解釋到啊！只是一堆沒意義的畫面！,,,,,
Zenith3_RAW-0080-Zenith,Zenith3_RAW-0080-Zenith,Нет. Вы это видели. Вы это восприняли.,,Non. Tu l'as vu. Tu l'as ressenti.,No. L'hai visto. Lo hai percepito.,Nein. Du hast es gesehen. Du hast es wahrgenommen.,No. Lo viste. Lo percibiste.,No. Lo viste. Lo percibiste.,아니야. 넌 봤어. 분명히 인식했지.,,いいえ。アナタは見マシタ。受け取っタ。,Não. Você viu. Você percebeu.,不。你已经看到了。你已经感知到了。,不。你看到了。你感知道了。,,,,,
Zenith3_RAW-0081-Zenith,Zenith3_RAW-0081-Zenith,Вот и ответ. На ваш вопрос.,,C'est la réponse. À ta question.,Questa è la risposta. Alla tua domanda.,Das ist die Antwort. Auf deine Frage.,Esa es la respuesta. A tu pregunta.,Esa es la respuesta. A tu pregunta.,그게 네 질문에 대한. 답이란다.,,それが答えデス。アナタの疑問への。,Essa é a resposta. Para a sua pergunta.,那就是你的问题。所对应的答案。,那就是你的問題。的答案。,,,,,
Zenith3_RAW-0082-Alta,Zenith3_RAW-0082-Alta,Н-... нет!! Этого недостаточно!,,N-… non !! C'est pas suffisant !,N... no! Non è abbastanza!,N–…nein! Das reicht mir nicht!,¡¡No!! ¡Esto no puede ser!,¡No! ¡No me sirvió de nada!,그럴 리 없어요!! 그게 무슨 답이에요!,,何…どこがだよ！ サッパリわからない！,N... Não!! Isso não serviu!,才——才不是！这样子也太糊弄了！,不……不！！這不夠好！,,,,,
Zenith3_RAW-0083-Alta,Zenith3_RAW-0083-Alta,"Вы хотите, чтобы я думал о боли, хорошо, неважно. Но мне нужно знать, каких результатов ожидать.",,"Tu veux que je pense à la douleur, très bien, si tu veux. Mais je dois savoir quel résultat je peux espérer.","Vuoi che pensi al dolore, va bene, ci sto. Ma devo sapere cosa aspettarmi.","Ihr wollt, dass ich über Schmerz nachdenke? Gut, meinetwegen. Aber ich muss wissen, welche Ergebnisse ich erwarten kann.","Quieres que piense en el dolor, está bien, lo que sea. Pero necesito saber qué resultados esperar.","¡¿Quieres que piense en el dolor?! Está bien, como digas. ¡Pero necesito saber qué resultados puedo esperar!","고통에 대해 생각해 봐야 한다면, 그래요, 할 수 있어요. 하지만 기대되는 결과가 뭔지는 알아야죠.",,痛みのことを考えろって言うのは、まあいいよ。でも、それが何になるのか教えてくれ。,"Você quer que eu pense na dor, beleza, que seja. Mas eu preciso saber que resultados esperar.",你让我想着痛苦，好，随便你。但起码也要让我收获一点结果吧。,你要我思考痛苦，我做得到，隨便。但我必須知道會有什麼成果。,,,,,
Zenith3_RAW-0084-Alta,Zenith3_RAW-0084-Alta,"И я говорю о конкретных вещах, а не о слепой вере, основанной на куче бессмыслицы!",,"Et je parle de choses précises, pas d'une croyance aveugle à je ne sais quel charabia !","E sto parlando di dettagli, non di fede cieca basata su un mucchio di sciocchezze!","Und ich rede von Einzelheiten, nicht blinden Glauben an einen Haufen Gewäsch!","¡Y estoy hablando de detalles, no de fe ciega basada en un montón de galimatías!","¡Y estoy hablando de detalles, no de fe ciega basada en un montón de bobadas!",구체적인 게 필요하다고요. 저딴 헛소리에 근거한 맹신이 아니라!,,それも具体的にだ！ ワケのわからない話を並べ立てて、信じろって言われても困る！,"E estou falando de detalhes, não fé cega baseada num monte de baboseira!",我说的是具体的结果，而不是让我盲信一堆胡言乱语！,我說的是具體成果，不是奠基在一堆瘋話上的盲目信仰！,,,,,
Zenith3_RAW-0085-Zenith,Zenith3_RAW-0085-Zenith,"Человек {{Alta}}. То, что мы вам показали. Это объяснение.",,Être humain {{Alta}}. Ce que nous t'avons montré. C'est l'explication.,Essere umano {{Alta}}. Quello che ti abbiamo mostrato. È la spiegazione.,"Menschin {{Alta}}. Was wir dir gezeigt. Haben, ist die Erklärung.",Humana {{Alta}}. Lo que te hemos mostrado. Es la explicación.,Humana {{Alta}}. Lo que te hemos mostrado. Es la explicación.,인간 {{Alta}}. 우리가 보여준 것이. 네가 원하던 설명이야.,,人間{{アルタ}}、今見せマシタ。それが説明デス。,Humana {{Alta}}. O que mostramos a você. É a explicação.,人类{{Alta}}。我等给你展示的东西。就是答案本身。,人類{{Alta}}。我們向你展示的。就是解釋。,,,,,
Zenith3_RAW-0086-Zenith,Zenith3_RAW-0086-Zenith,"Мы понимаем, что это не так. Для вас это не имеет смысла. Мы подозревали, что так и будет.",,Nous comprenons que ça ne fait pas. Grand sens pour toi. Nous nous y attendions.,Ci rendiamo conto che per te. Non ha senso. Sospettavamo che sarebbe stato così.,"Wir verstehen, dass es für. Dich keinen Sinn ergibt. Das hatten wir vermutet.",Nos damos cuenta de que no. Tiene sentido para ti. Sospechábamos que no.,Nos damos cuenta de que no. Tiene sentido para ti. Sospechábamos que no.,이해하지 못한다는 건. 잘 알겠어. 어느 정도 예상하기도 했지.,,わかりマス。アナタには意味をなさないコト。予想はしてイマシタ。,Percebemos que não. Faz sentido para você. Suspeitávamos que não faria.,我等明白。可能你无法理解它。我等对此已有预料。,我們明白。你不理解。我們本就知道會如此。,,,,,
Zenith3_RAW-0087-Zenith,Zenith3_RAW-0087-Zenith,Другого выхода нет. Мы не можем это объяснить. Нам жаль.,,Il n'y a pas pour nous d'autre façon. De t'expliquer. Nous sommes désolés.,Non c'è altro modo. Per spiegartelo. Ci dispiace.,"Es gibt für uns keine. Andere Möglichkeit, es zu erklären. Es tut uns leid.",No hay otra manera. De explicártelo. Lo sentimos.,No hay otra manera. De explicártelo. Lo sentimos.,하지만 설명할 수 있는. 다른 방법은 없어. 미안하구나.,,でも他にはないノデス。説明する方法が。残念デス。,Não há outra maneira. Para que nós expliquemos. Sentimos muito.,但我等实在无法。用其他方式为你解释。我等很抱歉。,我們沒有。其他解釋方式。我們很抱歉。,,,,,
Zenith3_RAW-0088-Alta,Zenith3_RAW-0088-Alta,"То есть вы хотите сказать, что я просто... Я просто сижу целый день и думаю о том, какой я ужасный человек??",,"Donc, tu dis juste que je… je dois rester assise toute la journée à penser à l'horrible personne que je suis ?",Quindi stai dicendo che... devo starmene seduta tutto il giorno a pensare a che persona orribile sono?,"Ihr meint also, ich soll … den ganzen Tag rumsitzen und darüber nachdenken, was für ein Scheusal ich bin?",Entonces estás diciendo que simplemente... ¿Me siente todo el día pensando en lo horrible que soy?,¡¿Entonces me estás diciendo que me quede sentada todo el día pensando en lo horrible que soy y listo?!,그러니까 그쪽 말은... 온종일 가만히 앉아서 내가 얼마나 끔찍한 인간인지 생각이나 하란 말이에요??,,つまり…一日中じっと座って、自分がいかにひどい人間か考え続けろって言うのか？,"Então, você está dizendo pra eu simplesmente... sentar o dia todo pensando em como eu sou uma pessoa horrível??",所以你的意思是……我就应该整日枯坐，想着自己到底是个多么烂的人？？,所以你們的意思是，我只要……我只要成天呆坐，想想自己有多糟？？,,,,,
Zenith3_RAW-0089-Alta,Zenith3_RAW-0089-Alta,"Черт возьми, я ужасен, я кусок дерьма, что-то в этом роде?? Это то, что ты предлагаешь!?","""hum de dum"" is the sound of a person humming a song to themselves","Tralala… je suis affreuse, je ne suis qu'un détritus, un truc comme ça ?? C'est bien ce que tu suggères !?","Trallalero trallalà, sono terribile, faccio ribrezzo, e cose del genere? Questo è quello che suggerisci!?","Düdelü, ich bin furchtbar, ich bin ein Stück Dreck, so in der Art? Das ist euer Vorschlag?","Hum du dum, soy terrible, soy un pedazo de basura, ¿algo así? ¿¡Eso es lo que sugieres!?","«Aaahh, qué persona horrible que soy, una tremenda basura»... ¡¿Algo así?! ¡¿Eso es lo que sugieres?!","어휴, 난 정말 끔찍해, 난 쓰레기야. 이러고 있으라고요?? 그게 방법이에요!?",,“うんうん、私は最低だ。いや、ゴミクズだな”ってか？ そうしろと言ってるんだな？！,"Hm, hm, eu sou horrível, eu sou um saco de lixo, algo assim?? É isso que você sugere!?",啦啦啦，我好坏，我简直是个人渣，之类的想法？？你就给我这种建议！？,嗚拉拉，我真糟，我是個垃圾，之類的？？這就是你的建議！？,,,,,
Zenith3_RAW-0090-Alta,Zenith3_RAW-0090-Alta,"{{Zenith}}, у тебя есть ответы, я знаю, что у тебя есть! Должно быть что-то еще!",,"{{Zenith}}, tu as les réponses, je le sais ! Il doit y avoir autre chose !","{{Zenith}}, tu hai le risposte, lo so! Ci deve essere altro!","{{Zenith}}, ihr habt die Antworten, das weiß ich! Da muss doch noch mehr dran sein!","¡{{Zenith}}, tienes las respuestas! ¡Sé que las tienes! ¡Tiene que haber algo más!","¡{{Zenith}}, tienes las respuestas! ¡Sé que las tienes! ¡Tiene que haber algo más!","{{Zenith}}, 그쪽은 답을 알잖아요. 난 다 안다고! 분명히 뭔가가 더 있어요!",,{{ゼニス}}、あんたは答えを知ってるはずだ！ もっとできることがあるだろ！,"{{Zenith}}, você tem as respostas, eu sei que tem! Isso não pode ser tudo!",{{Zenith}}，你一定有答案，我知道你有！事情肯定没这么简单！,{{Zenith}}，我知道你們有答案！一定不只這樣！,,,,,
Zenith3_RAW-0091-Alta,Zenith3_RAW-0091-Alta,Ты не можешь просто так оставить меня сломленным! Я сломлен!,,Tu ne peux pas me laisser brisée comme je le suis ! Je suis brisée !,Non puoi lasciarmi così! Sono a pezzi!,Ihr könnt mich nicht einfach so kaputt hier lassen! Ich bin kaputt!,¡No puedes dejarme así! ¡Estoy rota!,¡No puedes dejarme así! ¡Estoy rota!,날 이렇게 무너진 상태로 둘 거예요? 이렇게 무너져 있는데!,,こんな私のまま放っておかないでくれ！ 私は壊れてるんだ！,Você não pode me deixar aos pedaços assim! Estou em pedaços!,你不能就这样弃我于不顾。我已经废了！,你們不能坐視我這樣壞掉！我壞掉了啊！,,,,,
Zenith3_RAW-0092-Zenith,Zenith3_RAW-0092-Zenith,Мы могли бы показать тебе. Объяснение. Снова.,,Nous pourrions te montrer. L'explication. À nouveau.,Potremmo mostrarti. Di nuovo. La spiegazione.,Wir könnten dir die. Erklärung. Noch einmal zeigen.,Podríamos mostrarte. La explicación. Otra vez.,Podríamos mostrarte. La explicación. Otra vez.,그렇다면 다시 한번. 아까 봤던 장면을. 보여줄게.,,もう一度、見せマショウカ。説明を。,Nós poderíamos te mostrar. A explicação. Novamente.,我等可以。再次。为你展示答案。,我可以再次。向你展示。解釋。,,,,,
