key,source,Translation
Portuguese_Brazil,Aff...,
Chinese_Simplified,……唉……,
Chinese_Traditional,……唉……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0035-Alta,
English_US,"...okay. Fine. Fine. I don't understand why you're changing, but...",
Description,,
French,"… OK. Très bien. Très bien. Je ne comprends pas pourquoi tu changes, mais…",
Italian,"E va bene. Va Bene. Non capisco perché stai cambiando, ma...",
German,"…Okay. Meinetwegen. Meinetwegen. Ich verstehe nicht, warum ihr euch verändern, aber …",
Spanish_Spain,"Vale... Está bien. Está bien. No entiendo por qué estás cambiando, pero...",
Spanish_LATAM,"Bueno, está bien... De acuerdo. No entiendo por qué estás cambiando, pero...",
Korean,그러니까 내 말은... 그쪽이 답을 안다고 했잖아요. 날 고칠 방법이 있다고 했잖아요.,
Russian,,
Japanese,…わかった。もういいよ。変身してる理由は知らないけど…,
Portuguese_Brazil,"Tá. Beleza. Beleza. Eu não entendo por que você está mudando, mas...",
Chinese_Simplified,……好吧，行。我不知道你为什么变了，但……,
Chinese_Traditional,....好的。好。好。我不明白你為什麼要改變，但...,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0036-Alta,
English_US,"...but then can't you at least point me in the right direction?? Tell me what to do next?",
Description,,
French,"… mais tu ne pourrais pas au moins m'indiquer la bonne direction ? Me dire quoi faire ensuite ?",
Italian,Non puoi almeno indicarmi la giusta direzione? Dirmi cosa fare?,
German,"…könnt ihr mir wenigstens die Richtung zeigen? Mir sagen, was ich jetzt tun muss?",
Spanish_Spain,"Pero entonces, ¿no puedes al menos indicarme la dirección correcta? ¿Decirme qué debo hacer a continuación?",
Spanish_LATAM,"Pero entonces, ¿no podrías al menos señalarme la dirección correcta? ¿Decirme qué debo hacer a continuación?",
Korean,적어도 올바른 방향이라도 알려줄 순 없어요? 다음에 할 일을 말해줄 순 없어요?,
Russian,,
Japanese,…でも、正しい方向だけでも示してくれないか？ 私は次に何をすればいい？,
Portuguese_Brazil,Mas você não pode pelo menos me indicar a direção certa?? Me dizer o que fazer?,
Chinese_Simplified,……但你起码得给我指条明路吧？？至少告诉我下一步该怎么做？,
Chinese_Traditional,……但是你不能至少指出我正確的方向嗎？告訴我下一步該怎麼做？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0037-Alta,
English_US,"There must be SOMETHING I can do on my own, without you! Please, just give me an action I can take!",
Description,,
French,"Il doit bien y avoir QUELQUE CHOSE que je peux faire toute seule, sans toi ?! S'il te plaît, dis-moi ce que je dois faire !",
Italian,"Ci deve essere QUALCOSA che posso fare da sola, senza di te! Ti prego, dimmi cosa posso fare!",
German,"Es muss doch IRGENDWAS geben, was ich selbst tun kann, ohne euch! Bitte, gebt mir einfach nur eine Sache, die ich machen kann!",
Spanish_Spain,"¡Debe haber algo que pueda hacer por mi cuenta, sin ti! ¡Por favor, solo dame una acción que pueda hacer!",
Spanish_LATAM,"¡Debe haber algo que pueda hacer por mi cuenta! ¡Algo que pueda hacer sin ti! ¡Por favor, muéstrame el rumbo que debo tomar y ya!",
Korean,나를 닮은 존재를 통제할 방법을 알아내야 해요. 어떻게 해야 하는지 알고 있어요?,
Russian,,
Japanese,あんたナシでもできることが、きっとあるはずだ！ 頼むよ。どんな行動を取ればいいかだけ教えてくれ！,
Portuguese_Brazil,"Tem que ter ALGUMA COISA que eu possa fazer sozinha, sem você! Por favor, me indica uma ação que eu possa tomar!",
Chinese_Simplified,哪怕不靠你，我自己肯定也能做些什么！求你了，告诉我该怎么做吧！,
Chinese_Traditional,沒有你，我自己一定能做點什麼！請給我一個我可以採取的行動！,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0038-Zenith,
English_US,Hmm.,
Description,,
French,Hum…,
Italian,Hmm…,
German,Mmh.,
Spanish_Spain,Mmm.,
Spanish_LATAM,Mmm...,
Korean,흐음.,
Russian,,
Japanese,フーム。,
Portuguese_Brazil,Hmm.,
Chinese_Simplified,唔。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0039-Zenith,
English_US,Something. You can do.,
Description,,
French,Quelque chose. Que tu dois faire.,
Italian,Qualcosa. Che puoi fare.,
German,Etwas. Das du tun kannst.,
Spanish_Spain,Algo. Que puedes hacer.,
Spanish_LATAM,Algo. Que puedas hacer.,
Korean,네가 할 수 있는. 일이란 말이지.,
Russian,,
Japanese,何か。アナタにできるコト。,
Portuguese_Brazil,Alguma coisa. Que você possa fazer.,
Chinese_Simplified,有什么。是你能做的呢？,
Chinese_Traditional,你可以。做的事。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0040-Zenith,
English_US,Yes. We would suggest. That you focus deeply. On your pain.,
Description,,
French,Oui. Nous pourrions te suggérer. De te concentrer profondément. Sur ta douleur.,
Italian,Sì. Ti consigliamo. Di concentrarti profondamente. Sul tuo dolore.,
German,"Ja. Wir schlagen vor, dass. Du dich konzentrierst. Auf deinen Schmerz.",
Spanish_Spain,Sí. Sugerimos. Que te concentres profundamente. En tu dolor.,
Spanish_LATAM,Sí. Sugerimos. Que te concentres a fondo. En tu dolor.,
Korean,그래. 그렇다면. 온전히 집중해 보렴. 너의 고통에.,
Russian,,
Japanese,ありマス。提案しマショウ。向き合うノデス。心の奥の痛みと。,
Portuguese_Brazil,Sim. Nós sugeriríamos. Que você sem concentre profundamente. Na sua dor.,
Chinese_Simplified,是有的。我等建议。你将注意力。完全集中在自己的痛苦上。,
Chinese_Traditional,對。我們建議你。專注在。深層的痛苦上。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0041-Zenith,
English_US,Your unease. Your incompleteness. Your constraint. Aim your attention. At these.,
Description,,
French,Tes malaises. Tes inachèvements. Tes contraintes. Concentre ton attention. Sur ça.,
Italian,Il tuo disagio. La tua incompletezza. Il tuo vincolo. Focalizza la tua attenzione. Su questi aspetti.,
German,Deine Unruhe. Deine Unvollständigkeit. Deine Beschränkung. Richte deine Aufmerksamkeit. Auf sie.,
Spanish_Spain,Tu malestar. Tu incompletitud. Tu limitación. Dirige tu atención. A todo esto.,
Spanish_LATAM,Tu malestar. Tu incompletitud. Tu limitación. Dirige tu atención. A todo eso.,
Korean,너의 불안에. 너의 불완전함에. 너의 제약에. 주의를 집중해 봐. 그런 것에.,
Russian,,
Japanese,アナタの不安。不完全さ。自分を縛るもの。目を向けてミテ。そのスベテに。,
Portuguese_Brazil,Sua impaciência. Sua incompletude. Sua restrição. Foque sua atenção. Nisso.,
Chinese_Simplified,还有你的不安。你的缺憾。你的束缚。将注意力。集中在这些事情上。,
Chinese_Traditional,你的不安。你的欠缺。你的限制。讓你的注意力。集中在這些問題上。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0042-Zenith,
English_US,It is not the whole process. It will not heal you completely. But it is a start.,
Description,,
French,"Ce n'est pas le processus complet. Ça ne te guérira pas complètement. Mais c'est un début.",
Italian,Non è il processo completo. Non ti guarirà completamente. Ma è un inizio.,
German,Das ist nicht der ganze Prozess. Es wird nicht völlig heilen. Aber es ist ein Anfang.,
Spanish_Spain,No es todo el proceso. No te curará por completo. Pero es un comienzo.,
Spanish_LATAM,No es todo el proceso. No te curará por completo. Pero es un comienzo.,
Korean,물론 그게 전부는 아니야. 그걸로 완전히 치유되는 것도 아니고. 하지만 그게 시작이란다.,
Russian,,
Japanese,それだけでは終わりマセン。完全には癒やされナイ。でも、まずはそこからデス。,
Portuguese_Brazil,Esse não é o processo completo. Ele não curará você completamente. Mas é um começo.,
Chinese_Simplified,这并非完整的治疗方案。并不能完全治好你。但这至少是一个开始。,
Chinese_Traditional,這並非全部的過程。這不會徹底療癒你。但這是開始。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0043-Zenith,
English_US,This is what. We suggest.,
Description,,
French,"C'est cela. Que nous suggérons.",
Italian,Questo è ciò che. Ti consigliamo.,
German,Das ist. Was wir vorschlagen.,
Spanish_Spain,Eso es lo que. Sugerimos.,
Spanish_LATAM,Eso es lo que. Sugerimos.,
Korean,그렇게. 한번 해보렴.,
Russian,,
Japanese,これがワタシタチの提案。,
Portuguese_Brazil,É isso. Que sugerimos.,
Chinese_Simplified,这就是。我等的建议。,
Chinese_Traditional,這就是。我們的建議。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0044-Alta,
English_US,"Uhh, okay. Why?",
Description,,
French,Euh… OK. Pourquoi ?,
Italian,Uh... va bene. Perché?,
German,"Äh, okay. Warum?",
Spanish_Spain,"Eh, vale. ¿Por qué?",
Spanish_LATAM,"Bueno, bien. ¿Por qué?",
Korean,"후우, 알았어요. 왜요?",
Russian,,
Japanese,ええと、そうか。理由は？,
Portuguese_Brazil,"Ahm, tá. Por quê?",
Chinese_Simplified,呃，好吧。为什么？,
Chinese_Traditional,呃，好噢。為什麼？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0045-Zenith,
English_US,"""Why""?",
Description,"Just repeating the word ""why"" from the previous line",
French,"""Pourquoi"" ?",
Italian,Perché?,
German,„Warum“?,
Spanish_Spain,"¿""Por qué""?",
Spanish_LATAM,¿«Por qué»?,
Korean,"'왜요'라니?",
Russian,,
Japanese,“理由”？,
Portuguese_Brazil,"""Por quê""?",
Chinese_Simplified,“为什么”？,
Chinese_Traditional,「為什麼？」,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0046-Alta,
English_US,"Yeah, what will focusing on my pain do for me? How will it make me better? I need specifics.",
Description,,
French,"Ouais, me concentrer sur ma douleur, ça m'apportera quoi ? C'est censé me faire aller mieux ? Il me faut plus de détails.",
Italian,Quindi... concentrarmi sul mio dolore... come potrebbe mai rendermi migliore? Ho bisogno di saperne di più.,
German,"Ja, was bringt es mir, mich auf meine Schmerzen zu konzentrieren? Wie soll mir das helfen? Ich brauche Einzelheiten.",
Spanish_Spain,"Sí, ¿qué me hará centrarme en mi dolor? ¿Cómo hará que esté mejor? Necesito detalles.",
Spanish_LATAM,"Sí, digo, ¿de qué me serviría concentrarme en mi dolor? ¿Cómo hará eso que mejore? Necesito detalles.",
Korean,"네, 고통에 집중하는 게 무슨 도움이 되죠? 그렇게 하면 뭐가 나아지는데요? 구체적으로 말해줘요.",
Russian,,
Japanese,ああ、自分の痛みと向き合ったところで何になる？ なぜ状況が改善される？ 具体的に知りたい。,
Portuguese_Brazil,"Sim, o que focar na minha dor vai me adiantar? Como vai me deixar melhor? Preciso de detalhes.",
Chinese_Simplified,嗯，关注自己的痛苦对我有什么好处？这样做能让我有所好转吗？我想知道具体的细节。,
Chinese_Traditional,對啊，注意自己的痛苦對我有什麼好處？如何能讓我更好？我需要具體的說明。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0047-Zenith,
English_US,"""Why...""",
Description,,
French,"""Pourquoi…"" ?",
Italian,Perché...,
German,„Warum“ …,
Spanish_Spain,"¿""Por qué...""?",
Spanish_LATAM,«Por qué...».,
Korean,"'왜요'라…",
Russian,,
Japanese,“理由”デスカ…,
Portuguese_Brazil,"""Por quê...""",
Chinese_Simplified,“为什么……”,
Chinese_Traditional,「為什麼……」,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0048-Alta,
English_US,"There must be a reason it's beneficial. So what's the reason?",
Description,,
French,"Si c'est bénéfique, il doit y avoir une raison. C'est quoi la raison ?",
Italian,Ci deve essere una ragione per cui è vantaggioso. Vorrei sapere qual è.,
German,"Es ist doch nicht grundlos hilfreich. Also, was ist der Grund?",
Spanish_Spain,"Debe haber una razón por la que es beneficioso. Entonces, ¿cuál es la razón?",
Spanish_LATAM,"Debe haber una razón, un beneficio para hacerlo. Entonces, ¿cuál es la razón?",
Korean,그렇게 하는 게 유익한 이유가 있을 거 아니에요. 그 이유가 뭐죠?,
Russian,,
Japanese,私のためになると言うだけの理由があるんだろ。それは？,
Portuguese_Brazil,"Tem que ter um motivo pra ser benéfico. Então, qual é o motivo?",
Chinese_Simplified,这么做之所以有益，总得有个原因吧。所以原因是什么？,
Chinese_Traditional,一定有什麼有益的理由。所以理由是什麼？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0049-Zenith,
English_US,How interesting. We have never attempted. To explain this concept before.,
Description,,
French,"Très intéressant. Nous n'avions jamais tenté. D'expliquer ce concept.",
Italian,Interessante. Non abbiamo mai tentato. Di spiegare questo concetto prima.,
German,"Wie interessant. Wir haben noch nie. Versucht, das Konzept zu erklären.",
Spanish_Spain,Qué interesante. Nunca hemos intentado. Explicar este concepto antes.,
Spanish_LATAM,Qué interesante. Nunca hemos intentado. Explicar este concepto antes.,
Korean,흥미롭구나. 지금까지 한 번도 이 개념을. 설명하려 해본 적이 없거든.,
Russian,,
Japanese,なんと興味深いコトデショウ。初めての試みデス。この概念を説明するのは。,
Portuguese_Brazil,Que interessante. Nunca tentamos. Explicar esse conceito antes.,
Chinese_Simplified,真是有趣。我等还从未尝试过。解释这一概念。,
Chinese_Traditional,多有趣啊。我們從未嘗試。解釋這個概念。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0050-Zenith,
English_US,Hmmm.,
Description,,
French,Hum…,
Italian,Hmm…,
German,Mmmh.,
Spanish_Spain,Mmmm.,
Spanish_LATAM,Mmm...,
Korean,흐음.,
Russian,,
Japanese,フーム。,
Portuguese_Brazil,Hmmm.,
Chinese_Simplified,唔。,
Chinese_Traditional,嗯。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0051-Zenith,
English_US,It is difficult. To explain.,
Description,,
French,"C'est difficile. À expliquer.",
Italian,È difficile. Da spiegare.,
German,Es ist kompliziert. Zu erläutern.,
Spanish_Spain,Es difícil. Explicar.,
Spanish_LATAM,Es difícil. De explicar.,
Korean,설명하기. 어렵구나.,
Russian,,
Japanese,難しいデスネ。説明するのは。,
Portuguese_Brazil,É difícil. Explicar.,
Chinese_Simplified,这事情。难以解释。,
Chinese_Traditional,真難。解釋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0052-Zenith,
English_US,There are no words. Language. Is insufficient.,
Description,,
French,"Il n'y a pas de mots. La langue. Ne suffit pas.",
Italian,Non ci sono parole. Il linguaggio. È insufficiente.,
German,Es gibt keine Worte. Sprache reicht. Nicht aus.,
Spanish_Spain,No hay palabras. El idioma. Es insuficiente.,
Spanish_LATAM,No hay palabras. El idioma. Es insuficiente.,
Korean,말로 설명하기 힘들어. 언어로는. 부족해.,
Russian,,
Japanese,言葉にデキナイ。不十分ナノデス。言語では。,
Portuguese_Brazil,Não há palavras. O idioma. É insuficiente.,
Chinese_Simplified,只可意会，不可言传。任何语言。都太过苍白无力。,
Chinese_Traditional,難以言喻。語言。並不足夠。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0053-Zenith,
English_US,But we could. Perhaps. Show you directly.,
Description,,
French,Mais nous pourrions. Peut-être. Te montrer directement.,
Italian,Ma forse. Potremmo. Mostrartelo direttamente.,
German,Aber wir könnten es. Vielleicht. Direkt zeigen.,
Spanish_Spain,Pero podríamos. Tal vez. Mostrarte directamente.,
Spanish_LATAM,Pero podríamos. Tal vez. Mostrártelo directamente.,
Korean,대신. 우리가. 직접 보여주면 어떨까.,
Russian,,
Japanese,でも、やってミマショウ。直接、お見せシマス。,
Portuguese_Brazil,Mas nós poderíamos. Talvez. Mostrar a você diretamente.,
Chinese_Simplified,但也许。我等。可以直接为你展示。,
Chinese_Traditional,但我們。或許可以。直接向你展示。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0054-Alta,
English_US,"""Show"" me?",
Description,,
French,"Me ""montrer"" ?",
Italian,"""Mostrarmelo""?",
German,Es „zeigen“?,
Spanish_Spain,"¿""Mostrarme""?",
Spanish_LATAM,¿Mostrarme?,
Korean,"'보여'준다고요?",
Russian,,
Japanese,“見せる”って？,
Portuguese_Brazil,"Me ""mostrar""?",
Chinese_Simplified,为我“展示”？,
Chinese_Traditional,向我「展示」？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0055-Zenith,
English_US,Yes. The benefit of focusing. On your pain.,
Description,,
French,Oui. Le bénéfice de la concentration. Sur ta douleur.,
Italian,Sì. Il vantaggio di concentrarsi. Sul tuo dolore.,
German,"Ja. Den Vorteil, dich zu konzentrieren. Auf deinen Schmerz.",
Spanish_Spain,Sí. El beneficio de centrarte. En tu dolor.,
Spanish_LATAM,Sí. El beneficio de concentrarte. En tu dolor.,
Korean,그래. 고통에 집중할 때. 효과가 뭔지 보여줄게.,
Russian,,
Japanese,そうデス。アナタの痛みと向き合う利点を。,
Portuguese_Brazil,Sim. O benefício de focar. Na sua dor.,
Chinese_Simplified,是的。为你展示。关注自己痛苦的好处。,
Chinese_Traditional,對。關注深層痛苦。的益處。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0056-Zenith,
English_US,The initiation. The spark. The unfolding.,
Description,"words that simply mean ""the beginning""",
French,"L'initiation. L'étincelle. Le déroulement.",
Italian,"L'iniziazione. La scintilla. Lo svolgersi.",
German,Den Beginn. Den Funken. Die Entfaltung.,
Spanish_Spain,La iniciación. La chispa. El despliegue.,
Spanish_LATAM,La iniciación. La chispa. La revelación.,
Korean,무엇이 시작되고. 무엇이 촉발되고. 무엇이 펼쳐지는지.,
Russian,,
Japanese,始まり。ひらめき。解明。,
Portuguese_Brazil,A iniciação. A faísca. O desdobramento.,
Chinese_Simplified,由此而来的那种启蒙。那一缕开化之光。和那种明悟。,
Chinese_Traditional,措施。啟發。開展。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0057-Zenith,
English_US,We can project it. Into your mind. So that you can see.,
Description,,
French,Nous pouvons le projeter. Dans ton esprit. Pour que tu voies.,
Italian,Possiamo proiettarlo. Nella tua mente. In modo che tu possa vedere.,
German,Wir können es in deinen. Geist projizieren. Damit du es sehen kannst.,
Spanish_Spain,Podemos proyectarlo. En tu mente. Para que puedas ver.,
Spanish_LATAM,Podemos proyectarlo. En tu mente. Para que puedas ver.,
Korean,네 마음속에. 비춰줄 수 있단다. 네가 볼 수 있도록.,
Russian,,
Japanese,投影デキマス。アナタの頭の中に。そうすれば見えル。,
Portuguese_Brazil,Podemos projetar. Na sua mente. Para que você possa ver.,
Chinese_Simplified,我等都能。直接投射到你脑海中。如此一来你就能明白一切。,
Chinese_Traditional,我們可以投射至。你心中。這樣你就看得見。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0058-Zenith,
English_US,Do you wish for this?,
Description,,
French,"C'est ce que tu souhaites ?",
Italian,Vuoi farlo?,
German,Möchtest du das?,
Spanish_Spain,¿Deseas esto?,
Spanish_LATAM,¿Es lo que deseas?,
Korean,그렇게 해줄까?,
Russian,,
Japanese,そうして欲しいデスカ？,
Portuguese_Brazil,É isso que você deseja?,
Chinese_Simplified,你愿意如此吗？,
Chinese_Traditional,你想看嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0059-Choice,
English_US,Uhhh... could it do brain damage to me?,
Description,,
French,"Euh… ça va pas m'abîmer le cerveau ?",
Italian,Ehm... può arrecare danni al cervello?,
German,Äh …Kann mein Gehirn darunter leiden?,
Spanish_Spain,Eh... ¿podría causarme daño cerebral?,
Spanish_LATAM,Eh... ¿Podría causarme daño cerebral?,
Korean,아... 혹시 뇌에 손상은 없어요?,
Russian,,
Japanese,あのさ…脳にダメージはある？,
Portuguese_Brazil,Ahm... pode causar algum dano cerebral?,
Chinese_Simplified,唔……这样做会不会伤到我的脑子？,
Chinese_Traditional,呃……這會傷害我的腦袋嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0060-Choice,
English_US,"Sure, let's do it.",
Description,,
French,"Bien sûr, allons-y.",
Italian,"Certo, facciamolo.",
German,"Klar, legen wir los.",
Spanish_Spain,"Claro, vamos.",
Spanish_LATAM,"Claro, adelante.",
Korean,"좋아요, 해보자고요.",
Russian,,
Japanese,もちろん。やってみよう。,
Portuguese_Brazil,"Claro, vamos.",
Chinese_Simplified,好，动手吧。,
Chinese_Traditional,好啊，就這麼辦吧。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0061-Zenith,
English_US,It would not affect. Your brain.,
Description,From [0059-Choice],
French,"Ça n'affectera pas. Ton cerveau.",
Italian,Non avrà alcun effetto. Sul tuo cervello.,
German,Es würde dein Gehirn. Nicht beeinflussen.,
Spanish_Spain,No afectaría. A tu cerebro.,
Spanish_LATAM,No afectaría. A tu cerebro.,
Korean,뇌에는 아무런. 영향이 없단다.,
Russian,,
Japanese,影響は及びマセン。アナタの脳に。,
Portuguese_Brazil,Não afetaria. O seu cérebro.,
Chinese_Simplified,这样做。并不会伤到你的大脑。,
Chinese_Traditional,這不會影響。你的腦袋。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0062-Zenith,
English_US,It is only a vision. A perception. An insight.,
Description,,
French,"Ce n'est qu'une vision. Une perception. Un éclairage.",
Italian,"È solo una visione. Una percezione. Un'intuizione.",
German,Es ist nur eine Vision. Eine Wahrnehmung. Ein Einblick.,
Spanish_Spain,Es solo una visión. Una percepción. Una comprensión.,
Spanish_LATAM,Es solo una visión. Una percepción. Una perspicacia.,
Korean,그건 그냥 비전이고. 인식이고. 통찰이니까.,
Russian,,
Japanese,ただのビジョン、知覚、直感デス。,
Portuguese_Brazil,É apenas uma visão. Uma percepção. Uma revelação.,
Chinese_Simplified,它只是一个启示。一份明悟。一点洞悉。,
Chinese_Traditional,這就只是個畫面。一種感知。一種洞見。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0063-Choice,
English_US,"Sure, go ahead and show me.",
Description,,
French,"Bien sûr. Vas-y, montre-moi.",
Italian,"Certo, procedi pure e mostramelo.",
German,"Klar, legt los und zeigt es.",
Spanish_Spain,"Claro, adelante, muéstramelo.",
Spanish_LATAM,"Claro, adelante. Muéstrame.",
Korean,"좋아요, 그러면 보여줘요.",
Russian,,
Japanese,それならどうぞ。見せてくれ。,
Portuguese_Brazil,"Claro, pode me mostrar.",
Chinese_Simplified,好，那就让我看看吧。,
Chinese_Traditional,好，那就向我展示吧。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0064-Choice,
English_US,"Eh, maybe let's skip it.",
Description,,
French,Euh… on va peut-être laisser tomber.,
Italian,"Eh, forse è meglio lasciar perdere.",
German,"Äh, überspringen wir das lieber.",
Spanish_Spain,"Eh, tal vez saltémonos eso.",
Spanish_LATAM,Eh... Creo que sería mejor que no.,
Korean,"됐어요, 그냥 안 볼래요.",
Russian,,
Japanese,あー、パスしようかな。,
Portuguese_Brazil,"Ahm, melhor deixar.",
Chinese_Simplified,诶，那还是算了吧。,
Chinese_Traditional,呃，還是不要好了。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0065-Alta,
English_US,"Isn't there another way to explain it to me?",
Description,From [0064-Choice],
French,"Y a-t-il une autre façon de m'expliquer ça ?",
Italian,"Non c'è un altro modo per spiegarmelo?",
German,"Gibt es keine andere Art, es mir zu erklären?",
Spanish_Spain,¿No hay otra manera de explicármelo?,
Spanish_LATAM,¿No hay otra manera de explicármelo?,
Korean,다른 방법으로 설명해 줄 순 없어요?,
Russian,,
Japanese,説明する方法は他にないの？,
Portuguese_Brazil,Não tem outro jeito de me explicar?,
Chinese_Simplified,真没有别的办法为我做出解释了吗？,
Chinese_Traditional,沒有其他向我解釋的方法嗎？,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0066-Zenith,
English_US,There is not. Another way.,
Description,,
French,"Il n'y a pas. D'autre façon.",
Italian,"Non c'è. Un altro modo.",
German,Es gibt keine. Andere Art.,
Spanish_Spain,No hay. Otra manera.,
Spanish_LATAM,No hay. Otra manera.,
Korean,다른 방법은. 없단다.,
Russian,,
Japanese,ありマセン。他の方法は。,
Portuguese_Brazil,Não há. Outro jeito.,
Chinese_Simplified,的确。没有别的办法。,
Chinese_Traditional,沒有。其他方法。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0067-Alta,
English_US,Ughhh...,
Description,,
French,Bah…,
Italian,Ughhh...,
German,Oaaaah …,
Spanish_Spain,Aghhh...,
Spanish_LATAM,Aghhh...,
Korean,으윽...,
Russian,,
Japanese,ううーん…,
Portuguese_Brazil,Ughhh...,
Chinese_Simplified,啊……,
Chinese_Traditional,呃……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0068-Zenith,
English_US,Human {{Alta}}. We are sorry.,
Description,,
French,Être humain {{Alta}}. Nous sommes désolés.,
Italian,Essere umano {{Alta}}. Ci dispiace.,
German,Menschin {{Alta}}. Es tut uns leid.,
Spanish_Spain,Humana {{Alta}}. Lo sentimos.,
Spanish_LATAM,Humana {{Alta}}. Lo sentimos.,
Korean,인간 {{Alta}}. 미안하구나.,
Russian,,
Japanese,人間{{アルタ}}よ、残念デス。,
Portuguese_Brazil,Humana {{Alta}}. Sentimos muito.,
Chinese_Simplified,人类{{Alta}}。我等很抱歉。,
Chinese_Traditional,人類{{Alta}}。我們很抱歉。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0069-Alta,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0070-Zenith,
English_US,We hope. That you heal yourself.,
Description,,
French,Nous espérons. Que tu te soigneras toi-même.,
Italian,Speriamo. Che guarirai.,
German,"Wir hoffen, dass. Du dich selbst heilst.",
Spanish_Spain,Esperamos. Que te cures.,
Spanish_LATAM,Esperamos. Que te cures.,
Korean,부디 네가. 치유되길 바란다.,
Russian,,
Japanese,祈ってイマス。心を癒やせるように。,
Portuguese_Brazil,Esperamos. Que você se cure.,
Chinese_Simplified,我等衷心希望。你能治好自己。,
Chinese_Traditional,我們希望。你可以療癒自己。,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0071-Alta,
English_US,...,
Description,,
French,…,
Italian,...,
German,…,
Spanish_Spain,...,
Spanish_LATAM,...,
Korean,...,
Russian,,
Japanese,…,
Portuguese_Brazil,...,
Chinese_Simplified,……,
Chinese_Traditional,……,
Polish,,
Turkish,,
Swedish,,
Thai,,
Arabic,,
Key,Zenith3_RAW-0072-Zenith,
English_US,We are thinking. Of you.,
Description,,
French,Nous pensons. À toi.,
Italian,Ti. Pensiamo.,
German,Wir denken. An dich.,
Spanish_Spain,Estamos pensando. En ti.,
Spanish_LATAM,Te tenemos. En nuestros pensamientos.,
Korean,우린 너를. 생각한단다.,
Russian,,
